,,,,
Name,Ukrainian,Russian,,1
SKOLIVSKYI RAION,100,32,,
SOKALSKYI RAION,560,72,,
STAROSAMBIRSKYI RAION,444,30,,
STRYISKYI RAION,166,40,,
TURKIVSKYI RAION,74,12,,
YAVORIVSKYI RAION,424,170,,
m. MYKOLAIV,5507,175471,,
m. VOZNESENSK,1032,1733,,
m. OCHAKIV,333,1953,,
m. PERVOMAISK,1395,4218,,
m. YUZHNOUKRAINSK,656,4280,,
ARBUZYNSKYI RAION,474,646,,
BASHTANSKYI RAION,812,795,,
BEREZANSKYI RAION,661,843,,
BEREZNEHUVATSKYI RAION,532,413,,
BRATSKYI RAION,573,512,,
VESELYNIVSKYI RAION,676,365,,
VOZNESENSKYI RAION,866,1092,,
VRADIIVSKYI RAION,470,104,,
DOMANIVSKYI RAION,449,149,,
YELANETSKYI RAION,444,185,,
ZHOVTNEVYI RAION,1038,4477,,
KAZANKIVSKYI RAION,583,1265,,
KRYVOOZERSKYI RAION,364,115,,
MYKOLAIVSKYI RAION,840,1065,,
NOVOBUZKYI RAION,753,356,,
NOVOODESKYI RAION,662,606,,
OCHAKIVSKYI RAION,406,630,,
PERVOMAISKYI RAION,743,416,,
SNIHURIVSKYI RAION,838,1413,,
Kyiv City,42253,339293,,
m. RIVNE,4153,4127,,
m. DUBNO,504,208,,
m. KUZNETSOVSK,461,938,,
m. OSTROH,371,53,,
BEREZNIVSKYI RAION,119,45,,
VOLODYMYRETSKYI RAION,101,107,,
HOSHCHANSKYI RAION,129,39,,
DEMYDIVSKYI RAION,55,19,,
DUBENSKYI RAION,168,45,,
DUBROVYTSKYI RAION,185,68,,
ZARICHNENSKYI RAION,155,18,,
ZDOLBUNIVSKYI RAION,668,173,,
KORETSKYI RAION,206,48,,
KOSTOPILSKYI RAION,471,163,,
MLYNIVSKYI RAION,177,37,,
OSTROZKYI RAION,69,26,,
RIVNENSKYI RAION,632,257,,
RADYVYLIVSKYI RAION,180,39,,
ROKYTNIVSKYI RAION,8234,67,,
SARNENSKYI RAION,533,423,,
m. CHERNIHIV,3178,43552,,
m. NIZHYN,1116,2106,,
m. PRYLUKY,1136,987,,
BAKHMATSKYI RAION,355,247,,
BOBROVYTSKYI RAION,219,149,,
BORZNIANSKYI RAION,270,123,,
VARVYNSKYI RAION,164,102,,
HORODNIANSKYI RAION,316,1653,,
ICHNIANSKYI RAION,308,142,,
KOZELETSKYI RAION,399,799,,
KOROPSKYI RAION,186,169,,
KORIUKIVSKYI RAION,226,297,,
KULYKIVSKYI RAION,90,88,,
MENSKYI RAION,302,260,,
NIZHYNSKYI RAION,124,93,,
NOVHOROD-SIVERSKYI RAION,158,11825,,
NOSIVSKYI RAION,203,130,,
PRYLUTSKYI RAION,435,196,,
RIPKYNSKYI RAION,315,1921,,
SEMENIVSKYI RAION,168,3643,,
SOSNYTSKYI RAION,127,71,,
SRIBNIANSKYI RAION,75,43,,
TALALAIVSKYI RAION,80,102,,
CHERNIHIVSKYI RAION,407,779,,
SHCHORSKYI RAION,225,2095,,
m. CHERNIVTSI,6723,11454,,
m. NOVODNISTROVSK,179,438,,
VYZHNYTSKYI RAION,227,82,,
HERTSAIVSKYI RAION,72,121,,
HLYBOTSKYI RAION,4393,100,,
ZASTAVNIVSKYI RAION,106,43,,
KITSMANSKYI RAION,286,91,,
KELMENETSKYI RAION,168,96,,
NOVOSELYTSKYI RAION,465,413,,
PUTYLSKYI RAION,43,15,,
SOKYRIANSKYI RAION,428,238,,
STOROZHYNETSKYI RAION,2463,579,,
KHOTYNSKYI RAION,322,111,,
m. ZHYTOMYR,17568,20837,,
m. BERDYCHIV,5956,3235,,
m. KOROSTEN,1908,4087,,
m. NOVOHRAD-VOLYNSKYI,3650,1858,,
