"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
157,240,"UKR","Ukraine",6,"Donets'k",157,"Torez'ka","Mis'ka Rada","Mis'ka Rada",NA,"Torez-Don"
158,240,"UKR","Ukraine",6,"Donets'k",158,"Velykonovosilkivs'kyi","Raion","District",NA,"Velykonovoselivsk"
159,240,"UKR","Ukraine",6,"Donets'k",159,"Volnovas'kyi","Raion","District",NA,"Volnovaskyi"
160,240,"UKR","Ukraine",6,"Donets'k",160,"Volodars'kyi","Raion","District",NA,"Volodarskyi"
161,240,"UKR","Ukraine",6,"Donets'k",161,"Vuhledars'ka","Misto","City",NA,"Vuhledar"
162,240,"UKR","Ukraine",6,"Donets'k",162,"Zhdanivs'ka","Mis'ka Rada","Mis'ka Rada",NA,"Zhdanivka"
163,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",163,"Bohorodchans'kyi","Raion","District",NA,"Bogorodchanskyi"
164,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",164,"Dolyns'kyi","Raion","District",NA,"Dolynskyi-Ifr"
165,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",165,"Halyts'kyi","Raion","District",NA,"Galytskyi"
166,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",166,"Horodenkivs'kyi","Raion","District",NA,"Gorodenkivskyi"
167,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",167,"Iaremchans'ka","Mis'ka Rada","Mis'ka Rada",NA,"Yaremcha"
168,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",168,"Ivano-Frankivs'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
169,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",169,"Kalus'kyi","Raion","District",NA,"Kaluskyi-Raion"
170,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",170,"Kolomyis'kyi","Raion","District",NA,"Kolomyyskyi"
171,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",171,"Kosivs'kyi","Raion","District",NA,"Kosivskyi"
172,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",172,"Nadvirnians'kyi","Raion","District",NA,"Nadvirnyanskyi"
173,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",173,"Rohatyns'kyi","Raion","District",NA,"Rogatynskyi"
174,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",174,"Rozhniativs'kyi","Raion","District",NA,"Rozhnyativskyi"
175,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",175,"Sniatyns'kyi","Raion","District",NA,"Snyatynskyi"
176,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",176,"Tlumats'kyi","Raion","District",NA,"Tlumatskyi"
177,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",177,"Tysmenyts'kyi","Raion","District",NA,"Tysmenetskyi"
178,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",178,"Verkhovyns'kyi","Raion","District",NA,"Verhovynskyi"
179,240,"UKR","Ukraine",8,"Kharkiv",179,"Balakliis'kyi","Raion","District",NA,"Balakliya"
180,240,"UKR","Ukraine",8,"Kharkiv",180,"Barvinkivs'kyi","Raion","District",NA,"Barvenkove"
181,240,"UKR","Ukraine",8,"Kharkiv",181,"Blyzniukivs'kyi","Raion","District",NA,"Blyznyuky"
182,240,"UKR","Ukraine",8,"Kharkiv",182,"Bohodukhivs'kyi","Raion","District",NA,"Bohodukhiv"
183,240,"UKR","Ukraine",8,"Kharkiv",183,"Borivs'kyi","Raion","Raion",NA,NA
184,240,"UKR","Ukraine",8,"Kharkiv",184,"Chuhu‹vs'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
185,240,"UKR","Ukraine",8,"Kharkiv",185,"Chuhu‹vs'kyi","Raion","District",NA,"Chihuyiv"
186,240,"UKR","Ukraine",8,"Kharkiv",186,"Derhachivs'kyi","Raion","District",NA,"Derhachi"
187,240,"UKR","Ukraine",8,"Kharkiv",187,"Dvorichans'kyi","Raion","District",NA,"Dvuricha"
188,240,"UKR","Ukraine",8,"Kharkiv",188,"Iziums'ka","Misto","City",NA,NA
189,240,"UKR","Ukraine",8,"Kharkiv",189,"Iziums'kyi","Raion","District",NA,"Izyum"
190,240,"UKR","Ukraine",8,"Kharkiv",190,"Kehychivs'kyi","Raion","District",NA,"Kehichivka"
191,240,"UKR","Ukraine",8,"Kharkiv",191,"Kharkivs'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
192,240,"UKR","Ukraine",8,"Kharkiv",192,"Kharkivs'kyi","Raion","District",NA,"Kharkivsky"
193,240,"UKR","Ukraine",8,"Kharkiv",193,"Krasnohrads'kyi","Raion","District",NA,"Kkasnohrad"
194,240,"UKR","Ukraine",8,"Kharkiv",194,"Krasnokuts'kyi","Raion","District",NA,"Krasnokutsk"
195,240,"UKR","Ukraine",8,"Kharkiv",195,"Kupians'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
196,240,"UKR","Ukraine",8,"Kharkiv",196,"Kupians'kyi","Raion","District",NA,"Kup'yansk"
197,240,"UKR","Ukraine",8,"Kharkiv",197,"Lozivs'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
198,240,"UKR","Ukraine",8,"Kharkiv",198,"Lozivs'kyi","Raion","District",NA,"Lozova"
199,240,"UKR","Ukraine",8,"Kharkiv",199,"n.a. ( 180)",NA,NA,NA,NA
200,240,"UKR","Ukraine",8,"Kharkiv",200,"Novovodolaz'kyi","Raion","District",NA,"Nova Vodolaha"
201,240,"UKR","Ukraine",8,"Kharkiv",201,"Pecheniz'kyi","Raion","District",NA,"Pechenizkyi"
202,240,"UKR","Ukraine",8,"Kharkiv",202,"Pervomais'kyi","Raion","District",NA,"Pervomaisk"
203,240,"UKR","Ukraine",8,"Kharkiv",203,"Sakhnovshchyns'kyi","Raion","District",NA,"Sakhnovschyna"
204,240,"UKR","Ukraine",8,"Kharkiv",204,"Shevchenkivs'kyi","Raion","District",NA,"Shevchenkove"
205,240,"UKR","Ukraine",8,"Kharkiv",205,"Valkivs'kyi","Raion","District",NA,"Valky"
206,240,"UKR","Ukraine",8,"Kharkiv",206,"Velykoburluts'kyi","Raion","District",NA,"Velykyburluk"
207,240,"UKR","Ukraine",8,"Kharkiv",207,"Vovchans'kyi","Raion","District",NA,"Vovchansk"
208,240,"UKR","Ukraine",8,"Kharkiv",208,"Zachepylivs'kyi","Raion","District",NA,"Zachepylivka"
209,240,"UKR","Ukraine",8,"Kharkiv",209,"Zmiïvs'kyi","Raion","District",NA,"Zmiyiv"
210,240,"UKR","Ukraine",8,"Kharkiv",210,"Zolochivs'kyi","Raion","District",NA,"Zolochiv"
211,240,"UKR","Ukraine",9,"Kherson",211,"Beryslavs'kyi","Raion","District",NA,"Beryslavskyi"
212,240,"UKR","Ukraine",9,"Kherson",212,"Bilozers'kyi","Raion","District",NA,"Bilozerskyi"
213,240,"UKR","Ukraine",9,"Kherson",213,"Chaplyns'kyi","Raion","District",NA,"Chaplynskyi"
214,240,"UKR","Ukraine",9,"Kherson",214,"Heniches'kyi","Raion","District",NA,"Genicheskyi"
215,240,"UKR","Ukraine",9,"Kherson",215,"Holoprystans'kyi","Raion","District",NA,"Goloprystanskyi"
216,240,"UKR","Ukraine",9,"Kherson",216,"Hornosta‹vs'kyi","Raion","District",NA,"Gornostaivskyi"
217,240,"UKR","Ukraine",9,"Kherson",217,"Ivanivs'kyi","Raion","District",NA,"Ivanivskyi-Her"
218,240,"UKR","Ukraine",9,"Kherson",218,"Kakhovs'kyi","Raion","District",NA,"Kahovskyi"
219,240,"UKR","Ukraine",9,"Kherson",219,"Kalanchats'kyi","Raion","District",NA,"Kalanchatskyi"
220,240,"UKR","Ukraine",9,"Kherson",220,"Khersons'ka","Mis'ka Rada","Mis'ka Rada",NA,"Kherson"
221,240,"UKR","Ukraine",9,"Kherson",221,"Novokahovs'ka","Mis'ka Rada","Mis'ka Rada",NA,"NovaKakhovka"
222,240,"UKR","Ukraine",9,"Kherson",222,"Novotro‹ts'kyi","Raion","District",NA,"Novotroitskyi"
223,240,"UKR","Ukraine",9,"Kherson",223,"Novovorontsovs'kyi","Raion","District",NA,"Novovorontsovskyi"
224,240,"UKR","Ukraine",9,"Kherson",224,"Nyzhn'osirohoz'kyi","Raion","District",NA,"Nyzhnyosirogizkyi"
225,240,"UKR","Ukraine",9,"Kherson",225,"Skadovs'kyi","Raion","District",NA,"Skadovskyi"
